"Boiler Room"%2000%"Ben Younger"%"Giovanni"%"Ribisi"
"Boiler Room"%2000%"Ben Younger"%"Vin"%"Diesel"
"Driven"%2001%"Renny Harlin"%"Sylvester"%"Stallone"
"Driven"%2001%"Renny Harlin"%"Gina"%"Gershon"
"Driven"%2001%"Renny Harlin"%"Estella"%"Warren"
"Any Given Sunday"%1999%"Oliver Stone"%"Al"%"Pacino"
"Any Given Sunday"%1999%"Oliver Stone"%"Jamie"%"Foxx"
"Any Given Sunday"%1999%"Oliver Stone"%"Cameron"%"Diaz"
"Oceans Eleven"%1995%"Steven Soderbergh"%"Julia"%"Roberts"
"Oceans Eleven"%1995%"Steven Soderbergh"%"Brad"%"Pitt"
"Oceans Eleven"%1995%"Steven Soderbergh"%"George"%"Clooney"
"The Fast and the Furious"%2001%"Rob Cohen"%"Paul"%"Walker"
"The Fast and the Furious"%2001%"Rob Cohen"%"Vin"%"Diesel"
"The Fast and the Furious"%2001%"Rob Cohen"%"Jordana"%"Brewster"
"Barbershop"%2002%"Tim Story"%"Ice"%"Cube"
"Black Hawk Down"%2002%"Ridley Scott"%"Josh"%"Hartnett"
"The Aviator"%2004%"Martin Scorsese"%"Leonardo"%"DiCaprio"
"The Aviator"%2004%"Martin Scorsese"%"Kate"%"Beckinsale"
"The Aviator"%2004%"Martin Scorsese"%"Alec"%"Baldwin"
"Elektra"%2005%"Rob Bowman"%"Jennifer"%"Garner"
"Elektra"%2005%"Rob Bowman"%"Goran"%"Visnjic"
"Elektra"%2005%"Rob Bowman"%"Will Yun"%"Lee"
"Ocean's Twelve"%2004%"Steven Soderbergh"%"Andy"%"Garcia"
"Ocean's Twelve"%2004%"Steven Soderbergh"%"Brad"%"Pitt"
"Ocean's Twelve"%2004%"Steven Soderbergh"%"Catherine"%"Zeta-Jones"
"Ocean's Twelve"%2004%"Steven Soderbergh"%"Matt"%"Damon"
"Ocean's Twelve"%2004%"Steven Soderbergh"%"Julia"%"Roberts"
"Ocean's Twelve"%2004%"Steven Soderbergh"%"George"%"Clooney"
"The Goonies"%1985%"Richard Donner"%"Sean"%"Astin"
"Coach Carter"%2005%"Thomas Carter"%"Leonardo"%"DiCaprio"
"Coach Carter"%2005%"Thomas Carter"%"Kate"%"Beckinsale"
"Coach Carter"%2005%"Thomas Carter"%"Ashanti"%"Douglas"
"Assault on Precinct 13"%2005%"Jean-Fran?is Richet"%"Leonardo"%"DiCaprio"
"Assault on Precinct 13"%2005%"Jean-Fran?is Richet"%"Laurence"%"Fishburne"
"Assault on Precinct 13"%2005%"Jean-Fran?is Richet"%"Ethan"%"Hawke"
"Forrest Gump"%1994%"Robert Zemeckis"%"Sally"%"Field"
"Forrest Gump"%1994%"Robert Zemeckis"%"Gary"%"Sinise"
"Forrest Gump"%1994%"Robert Zemeckis"%"Tom"%"Hanks"
"Independence Day"%1996%"Roland Emmerich"%"Will"%"Smith"
"The Sixth Sense"%1999%"M. Night Shyamalan"%"Bruce"%"Willis"
"Amelie"%2001%"Jean-Pierre Jeunet"%"Audrey"%"Tautou"
"Garden State"%2004%"Zach Braff"%"Zach"%"Braff"
"Garden State"%2004%"Zach Braff"%"Natalie"%"Portman"
"Hero"%2004%"Zhang Yimou"%"Jet"%"Li"
"Moulin Rouge"%2001%"Baz Luhrmann"%"Ewan"%"McGregor"
"Moulin Rouge"%2001%"Baz Luhrmann"%"Ewan"%"MacGregor"
"Moulin Rouge"%2001%"Baz Luhrmann"%"Nicole"%"Kidman"
"Oceans Eleven"%2001%"Steven Soderbergh"%"Scott"%"Caan"
"Oceans Eleven"%2001%"Steven Soderbergh"%"Andy"%"Garcia"
"Oceans Eleven"%2001%"Steven Soderbergh"%"Matt"%"Damon"
"Oceans Eleven"%2001%"Steven Soderbergh"%"Julia"%"Roberts"
"Oceans Eleven"%2001%"Steven Soderbergh"%"Brad"%"Pitt"
"Oceans Eleven"%2001%"Steven Soderbergh"%"George"%"Clooney"
"Raiders Of The Lost Ark"%1981%"Steven Spielberg"%"Harrison"%"Ford"
